Other Regulatory ID;SMILES;Structural formula
1069;NC(Cc1c[nH]c2ccccc12)C(=O)O;-1.17
1070;O=C(O)CCC[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1;1.95
1071;CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1;-0.99
1072;Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1;2.0
1073;c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1;3.8
1074;COCCNC(=O)c1cccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)c1;3.21
1075;CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1;0.36
1076;NC(=O)c1cc(F)cc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1;2.14
1077;N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O;1.71
1078;O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1;1.19
1079;Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1;2.7
1080;Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C;2.77
1081;COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1;3.8
1082;O=C(COc1ccccc1)c1ccccc1;2.87
1083;COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C;1.91
1084;CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1;3.4
1085;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1;3.13
1086;O=C1CCOc2cc(COc3ccccc3)ccc21;3.0
1087;Clc1cccc2cn[nH]c12;2.33
1088;CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1;2.8
1089;COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1;-0.54
1090;C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O;3.16
1091;C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1;2.91
1092;O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl;1.55
1093;COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1;0.2
1094;Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1;1.43
1095;C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1;2.47
1096;CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO;2.48
1097;CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23;-0.45
1098;CC1(c2nc(N3CCOCC3)ncc2C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)CC1;2.0
1099;COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1;2.6
1100;COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1;3.5
1101;Oc1cc(-c2ccccc2)nc2ccnn12;1.3
1102;O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1;2.01
1103;C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O;3.59
1104;C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1;0.18
1105;COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1;2.6
1106;Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(F)c2)nc1C(N)=O;1.3
1107;COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1;2.1
1108;Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1;3.72
1109;CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1;1.72
1110;COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21;1.65
1111;CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1;3.7
1112;CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O;2.2
1113;C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1;2.04
1114;CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C;4.49
1115;COc1ccc(Cc2c(N)n[nH]c2N)cc1;0.2
1116;CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1;2.0
1117;Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O;1.49
1118;c1ccc(N2CC3COc4ccccc4C3=N2)cc1;4.28
1119;CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O;1.64
1120;FC(F)c1nc2ccccc2[nH]1;2.02
1121;N#Cc1cccc(OC[C@@H](O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1;3.09
1122;COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1;2.18
1123;O=C(Oc1ccccc1O)c1cccc2ccccc12;4.4
1124;COc1ccccc1CNc1cc(C)ccn1;3.28
1125;Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1;3.04
1126;Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2;3.12
1127;COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O;0.06
1128;O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1;2.49
1129;CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1;1.11
1130;Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1;2.81
1131;COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1;3.52
1132;NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1;2.5
1133;CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1;4.48
1134;O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1;1.33
1135;O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1;1.83
1136;COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC;3.6
1137;CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1;3.2
1138;N=C(N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N;-0.56
1139;N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1;3.53
1140;CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1;4.3
1141;NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1;2.88
1142;Cc1ncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O;1.0
1143;Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C;2.4
1144;CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1;1.89
1145;Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1;1.52
1146;O=c1ccoc2cc(OCc3ccccc3)ccc12;3.33
1147;[O-][S+](c1ccccc1)c1ccc2nnnn2n1;0.79
1148;O=[N+]([O-])c1ccc2c(c1)N(c1cccc[n+]1[O-])CC(C(F)F)(C(F)F)O2;3.2
1149;CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;0.1
1150;Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](C(=O)O)CC2)cc1;0.22
1151;Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1;2.0
1152;COc1cc(OC2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1;4.0
1153;COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1;2.71
1154;COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O;0.7
1155;Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12;3.67
1156;Cn1sc(NC(=O)c2cccc(Cl)c2)nc1=O;0.87
1157;Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1;2.83
1158;CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1;0.82
1159;O=c1cc(N2CCOCC2)oc2cc(O)ccc12;1.0
1160;Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2;3.07
1161;O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1;3.07
1162;O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1;1.6
1163;O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1;1.58
1164;O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)n(C(CO)CO)ccc12;2.62
1165;COc1ccc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)n1;3.37
1166;Clc1ccccc1-c1cnn[nH]1;2.68
1167;NC(=O)c1ccc(Oc2cccc3cccnc23)c([N+](=O)[O-])c1;1.7
1168;NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O;2.21
1169;Nc1ccc(S(=O)(=O)Nc2nccs2)cc1;-0.37
1170;COC(=O)c1nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2[nH]c1=O;2.49
1171;COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1;3.11
1172;CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23;0.74
1173;Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C;1.61
1174;N#Cc1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1;1.2
1175;Cc1ccc(NC(=N)N)cc1C;-1.34
1176;O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl;1.26
1177;O=C(Oc1ccccc1)N1CCOCC1;1.3
1178;CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1;1.9
1179;FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12;3.0
1180;Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O;0.21
1181;CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1;1.55
1182;C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1;2.82
1183;COc1ccc(Cn2cc3c(=O)n(C)c(=O)n(CC(C)C)c3c2)cc1;3.52
1184;COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1;3.2
1185;CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC;1.09
1186;CC(=O)Nc1nc(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1;0.55
1187;CSc1ncccc1C(=O)Nc1nccs1;1.43
1188;CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2;2.51
1189;Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1;2.49
1190;CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1;2.31
1191;C[C@@H](NC(=O)C1CCCCN1C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1;3.34
1192;Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N(C)C)CC2)c1;4.13
1193;CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C;3.12
1194;NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1;2.2
1195;CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(C)(=O)=O)c1=O)C(=O)C(F)(F)F;1.77
1196;C[C@H]1CN(C(=O)c2ccc(C#N)cc2)[C@H](C)CN1C(=O)[C@@](C)(O)C(F)(F)F;1.5
1197;CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1;2.5
1198;O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CC2CCNCC2)ccc1Cl;1.49
1199;CC[C@H](NC(=O)c1c(S(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1;3.17
1200;O=C(Nc1ccc(F)cc1)c1cccnc1Oc1ccccc1;3.19
1201;Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1;1.65
1202;Cc1nc(S(C)(=O)=O)ccc1Nc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C;2.8
1203;Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12;3.89
1204;C[C@@H](NCc1ccccc1-c1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1;2.28
1205;Nc1nc(Nc2ccc(F)c(Cl)c2)c2nc[nH]c2n1;2.75
1206;CCCSc1nc(N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1;3.97
1207;CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1;-0.84
1208;Cc1ccc(-c2cccc([S@]3(=O)=NC(=O)[C@H](C)N3)c2)cc1;1.6
1209;Nc1nc(N)nc(-c2cccc(C(F)(F)F)c2)n1;2.4
1210;Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1;3.39
1211;O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1;1.79
1212;O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)Cc2ccccc2)CC1;1.01
1213;Clc1cccc(-n2nnnc2NCc2ccccc2Oc2ccccn2)c1Cl;3.62
1214;CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1;2.36
1215;O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl;1.29
1216;O=c1[nH]n(Cc2ccccn2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12;1.1
1217;C[C@@H](NC(=O)[C@H]1CCCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1;2.15
1218;CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3cccc4ncccc34)sc21;1.98
1219;C[C@@H](C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ccc(F)cc3c2C1;3.5
1220;CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(N)(=O)=O)c1=O)C(=O)C(F)(F)F;1.17
1221;O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl;2.53
1222;N=C(NCc1ccc(Cl)cc1)SCCCc1c[nH]cn1;1.13
1223;Cc1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1;1.3
1224;Cc1ccc2c(n1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O;0.35
1225;Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(N(C)C2CCN(C)CC2)n1;1.8
1226;CCCCCC[C@H]1OC(=O)CNC(=O)[C@@H]([C@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C;3.2
1227;CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1;0.82
1228;Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1;3.19
1229;O=C(NCCSCc1ccccc1)c1ccccc1;3.3
1230;O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1;2.5
1231;CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21;2.35
1232;Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)cnc2C)n[nH]1;1.73
1233;c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1;3.3
1234;Nc1ccccc1NC(=O)c1ccc(C2CCN(Cc3ccc(C(=O)NC4CC4)cc3)CC2)cc1;2.31
1235;CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12;2.41
1236;OCC[C@]1(c2ccc(Cl)c(Cl)c2)CCCNC1;0.61
1237;COc1ccccc1C(C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCN(Cc2ccc(F)cc2)CC1;3.57
1238;CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12;3.13
1239;CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1;1.56
1240;O=c1[nH]n(C(c2ccncc2)C2CC2)c(=O)c2c(O)c3ccc(Cl)cc3nc12;0.7
1241;Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl;2.08
1242;O=C(CCc1ccccc1)c1ccccc1;3.77
1243;CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1;-0.9
1244;O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1;2.5
1245;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;3.02
1246;COc1cc(Nc2nccc(N(C)c3cc(CO)ccc3C)n2)cc(N2CCOCC2)c1;3.9
1247;O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1;1.94
1248;CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccc(F)cc2)nc2ccccc12)c1ccccc1;3.72
1249;Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O;2.27
1250;COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC;1.7
1251;COc1ccc2nc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)ccc2c1;2.43
1252;Cc1cc(C)c2c(n1)sc1c(N3CCN(C)CC3)ncnc12;3.2
1253;CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1;3.27
1254;O=C(COc1ccccc1)N1CCOCC1;0.75
1255;Cc1nnsc1C(=O)Nc1ccccc1;0.97
1256;CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21;1.07
1257;Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O;-0.38
1258;COc1cc(O)cc2occ(-c3ccc(O)cc3)c(=O)c12;2.0
1259;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1;2.43
